Gamma,Depth
14.8,5038.51
12.4,5038.56
11.4,5038.61
7.9,5038.66
7.5,5038.71
6.6,5038.76
7.4,5038.81
8.1,5038.86
6.5,5038.91
5.9,5038.96
6.3,5039.01
7.1,5039.06
8.3,5039.11
10.0,5039.16
11.3,5039.21
12.6,5039.26
14.5,5039.31
14.0,5039.36
16.9,5039.41
16.3,5039.46
14.4,5039.51
16.4,5039.56
15.5,5039.61
14.7,5039.66
14.7,5039.71
13.5,5039.76
13.4,5039.81
12.1,5039.86
11.4,5039.91
11.0,5039.96
11.4,5040.01
8.8,5040.06
7.7,5040.11
8.0,5040.16
7.6,5040.21
8.3,5040.26
8.6,5040.31
9.1,5040.36
9.4,5040.41
8.6,5040.46
8.1,5040.51
8.5,5040.56
8.8,5040.61
8.3,5040.66
8.0,5040.71
8.5,5040.76
9.5,5040.81
9.4,5040.86
8.4,5040.91
8.4,5040.96
8.7,5041.01
9.3,5041.06
11.4,5041.11
12.6,5041.16
13.0,5041.21
13.2,5041.26
14.2,5041.31
14.5,5041.36
13.2,5041.41
12.7,5041.46
12.5,5041.51
13.1,5041.56
13.6,5041.61
12.4,5041.66
10.9,5041.71
8.9,5041.76
7.7,5041.81
7.1,5041.86
6.8,5041.91
6.4,5041.96
7.4,5042.01
9.3,5042.06
10.2,5042.11
10.6,5042.16
10.8,5042.21
10.4,5042.26
9.9,5042.31
10.4,5042.36
10.0,5042.41
10.6,5042.46
10.2,5042.51
10.3,5042.56
11.0,5042.61
10.6,5042.66
10.5,5042.71
11.2,5042.76
10.9,5042.81
11.1,5042.86
10.9,5042.91
12.6,5042.96
13.1,5043.01
13.4,5043.06
13.3,5043.11
14.0,5043.16
14.1,5043.21
12.4,5043.26
12.5,5043.31
